X,Y,OBJECTID,BCOURTLOCN,Lat,Long,EastITM,NorthITM,EastIG,NorthIG
-9.077736823020551,53.276099878261491,1,Westside Sports Ground,53.276,-9.078,528080.679,725654.603,128114.388,225625.506
-8.983496689629549,53.284175732847345,2,"Doughiska Park, Doughiska Rd.",53.284,-8.984,534377.371,726462.415,134412.437,226433.528
-8.968401836111061,53.275137590442505,3,"Roscam Park, Roscam",53.275,-8.969,535370.147,725443.143,135405.43,225414.044
-9.0668384530004,53.273557547792002,4,"Sliding Rock, Shantalla",53.274,-9.067,528803.203,725360.856,128837.069,225331.7
